dt,status,machine_id,machine_name,count_jobs,count_machines,mip_fo,heuristic_fo,fo_diff,fo_diff_pct,mip_time_seconds,heuristic_time_seconds,time_diff_seconds
2025-11-05,60,0,coldboxgasado_coldboxpequena,19,1,0.33501006036217307,0.33501,-6.036217309324243e-08,-1.801801803443933e-05,32.922,0.0311639,-32.890836099999994
2025-11-05,60,4,pepset_vibrado,9,1,0.5028281363306744,0.502828,-1.3633067430518508e-07,-2.711277759833433e-05,4.791,0.00207518,-4.78892482
2025-11-11,69,1,coldboxgasado_coldbox4,12,1,0.43270868824531517,0.432709,3.117546848452335e-07,7.204724409612285e-05,2.72,0.00487072,-2.71512928
2025-11-11,69,4,pepset_vibrado,11,1,1015.527899956878,1015.53,0.002100043122027273,0.00020679324734617795,40.168,0.00398295,-40.16401705
2025-11-11,70,1,coldboxgasado_coldbox4,12,1,0.43270868824531517,0.432709,3.117546848452335e-07,7.204724409612285e-05,2.631,0.00510696,-2.62589304
2025-11-11,70,4,pepset_vibrado,11,1,1015.527899956878,1015.53,0.002100043122027273,0.00020679324734617795,39.832,0.00396037,-39.82803963
2025-11-11,71,1,coldboxgasado_coldbox4,10,1,0.4756910496844725,0.475691,-4.968447253617114e-08,-1.0444693581921927e-05,1.243,0.00335352,-1.23964648
2025-11-11,71,4,pepset_vibrado,10,1,524.479556019353,524.48,0.00044398064699180395,8.465165932519614e-05,26.226,0.00325725,-26.22274275
2026-02-02,10103,0,pepset_chao,18,2,83.45315510123845,83.4515,-0.0016551012384553587,-0.001983269819394518,69.113,0.0707018,-69.0422982
2026-02-02,10103,2,pepset_vibrado,10,1,0.4405781983458759,0.440578,-1.983458758902934e-07,-4.5019448677889855e-05,9.329,0.00301996,-9.325980040000001
2026-02-02,10103,4,coldboxgasado_coldboxpequena,23,1,0.4778153846153846,0.477815,-3.8461538459655387e-07,-8.049455856389981e-05,34.473,0.0461869,-34.4268131
2026-02-02,10103,5,coldboxgasado_coldbox4,16,1,0.5053739661196869,0.505374,3.388031311057915e-08,6.704008394163173e-06,5.335,0.0123187,-5.3226813
2025-11-12,72,0,coldboxgasado_coldboxpequena,27,1,0.3667699115044248,0.36677,8.849557520118623e-08,2.4128362885110494e-05,61.341,0.102023,-61.238977
2025-11-12,72,1,coldboxgasado_coldbox4,6,1,0.5638064901453315,0.563806,-4.901453314332116e-07,-8.693502824113777e-05,0.267,0.000555512,-0.26644448800000003
2025-11-12,72,4,pepset_vibrado,8,1,261.5446239190733,261.544,-0.0006239190732912903,-0.00023855167196414726,5.496,0.00182444,-5.49417556
2025-11-12,73,0,coldboxgasado_coldboxpequena,24,1,0.3703021554084325,0.370302,-1.554084324562055e-07,-4.196800644727399e-05,27.513,0.071612,-27.441388000000003
2025-11-12,73,1,coldboxgasado_coldbox4,6,1,0.5602229743181366,0.560223,2.568186341367351e-08,4.584221745802489e-06,0.238,0.00056485,-0.23743514999999998
2025-11-12,73,4,pepset_vibrado,7,1,98.48051463732985,98.4805,-1.4637329840638813e-05,-1.4863173587732669e-05,6.191,0.000821921,-6.190178079
2025-11-13,74,2,pepset_chao,26,2,0.531278458844133,0.531278,-4.5884413302221816e-07,-8.636603374066673e-05,986.137,0.263329,-985.873671
2025-11-13,75,2,pepset_chao,24,2,0.5368445017834105,0.536845,4.982165895395241e-07,9.280463670288817e-05,763.308,0.186936,-763.121064
